set N :=  	1 2 3 4 5 6 7; 

set A := 	(1, 2) (1,3) (1,4) (2,5) (3,4) (3,5) (3,6) (4,6) (5,7) (6,7);

param      S :=
		1  1 
                2  0
                3  0
                4  0
                5  0
                6  0
                7  0;
        
param      D :=
		1  0 
                2  0
                3  0
                4  0
                5  0
                6  0
                7  1;

param         w :=
		[1,2] 6
                [1,3] 4  
                [1,4] 1
                [2,5] 4
                [3,4] 3
                [3,5] 1
                [3,6] 3
                [4,6] 4
                [5,7] 4
                [6,7] 9;
